PlateID;Plate;PlateDetec;PlateRecogn
97; 96; 154; 168; 170; 61; 144; 204
82;MEX99P;MEX99P;MEX99P
45;AF689NV;AF689NV;AF689NV
244;AJ294OA;AJ294OA;AJ294OA
162;DCN07P;DCN07P;DCN07P
121;A86DC6G;A86DC6G;A86DC6G
248;AB275UN;AB275UN;AB275UN
161;AA192SU;AA192SU;AA192SU
192;A05DJ4G;A05DJ4G;A05DJ4G
175;DCE96B;DCE96B;DCE96B
88;AFD06Y;AFD06Y;AFD06Y
62;AGH56W;AGH56W;AGH56W
204;AA251MD;AA25MD;AA25HD
241;AB076DF;AB076DF;AB076DF
133;AG366GG;AG366GG;AG366GG
197;DBM43M;DBM43M;DBM43M
90;AH534HM;AH534HM;AH534HM
79;BBM29K;BBM29K;BBM29K
84;AD591RM;AD59RM;AD59RM
238;A00CG8V;A00CG8V;A00CG8V
160;MBF06L;MBF06L;MBF06L
104;AB747BM;AB747BM;AB747BM
217;AF283VG;AF283VG;AF283VG
74;MFJ88M;MFJ88M;MFJ88M
108;AI397IG;AI397IG;AI397IG
249;AK179GA;AK179GA;AK179GA
65;AH118WG;AH118WG;AH118WG
94;AB302DE;AB302DE;AB302DE
219;ABI37X;ABI37X;ABI37X
242;MAC24A;MAC24A;MAC24A
87;AB789PA;AB789PA;AB789PA
92;A66CA7K;A66CA7K;A66CA7K
190;AA473BU;AA473BU;AA473BU
56;AF834EG;AF834EG;AF834EG
243;AD476EM;D476EM;D476FM
54;AFH23X;AFH23X;AFH23X
137;AB242AA;B242AA;B242AA
181;AA096TF;AA096TF;AA096TF
174;ABI50J;ABI50J;ABI50J
228;AL092BA;AL092BA;AL092BA
114;MEX15L;MEX15;MEX15L
251;AH850DM;AH850DM;AH850DM
126;AE192BA;AE192BA;AE192BA
179;AB218KN;AB218K;AB218A
229;AF839YK;AF839YK;AF839YK
234;AA453UD;AA45UD;AA45UD
